Distances from center of each square to grid center (50.0, 30.0):

Distance at (1, 1): 57.6238
Distance at (1, 2): 57.1183
Distance at (1, 3): 56.6260
Distance at (1, 4): 56.1471
Distance at (1, 5): 55.6821
Distance at (1, 6): 55.2313
Distance at (1, 7): 54.7951
Distance at (1, 8): 54.3737
Distance at (1, 9): 53.9676
Distance at (1, 10): 53.5770
Distance at (1, 11): 53.2024
Distance at (1, 12): 52.8441
Distance at (1, 13): 52.5024
Distance at (1, 14): 52.1776
Distance at (1, 15): 51.8700
Distance at (1, 16): 51.5800
Distance at (1, 17): 51.3079
Distance at (1, 18): 51.0539
Distance at (1, 19): 50.8183
Distance at (1, 20): 50.6014
Distance at (1, 21): 50.4034
Distance at (1, 22): 50.2245
Distance at (1, 23): 50.0650
Distance at (1, 24): 49.9249
Distance at (1, 25): 49.8046
Distance at (1, 26): 49.7041
Distance at (1, 27): 49.6236
Distance at (1, 28): 49.5631
Distance at (1, 29): 49.5227
Distance at (1, 30): 49.5025
Distance at (1, 31): 49.5025
Distance at (1, 32): 49.5227
Distance at (1, 33): 49.5631
Distance at (1, 34): 49.6236
Distance at (1, 35): 49.7041
Distance at (1, 36): 49.8046
Distance at (1, 37): 49.9249
Distance at (1, 38): 50.0650
Distance at (1, 39): 50.2245
Distance at (1, 40): 50.4034
Distance at (1, 41): 50.6014
Distance at (1, 42): 50.8183
Distance at (1, 43): 51.0539
Distance at (1, 44): 51.3079
Distance at (1, 45): 51.5800
Distance at (1, 46): 51.8700
Distance at (1, 47): 52.1776
Distance at (1, 48): 52.5024
Distance at (1, 49): 52.8441
Distance at (1, 50): 53.2024
Distance at (1, 51): 53.5770
Distance at (1, 52): 53.9676
Distance at (1, 53): 54.3737
Distance at (1, 54): 54.7951
Distance at (1, 55): 55.2313
Distance at (1, 56): 55.6821
Distance at (1, 57): 56.1471
Distance at (1, 58): 56.6260
Distance at (1, 59): 57.1183
Distance at (1, 60): 57.6238
Distance at (2, 1): 56.7671
Distance at (2, 2): 56.2539
Distance at (2, 3): 55.7539
Distance at (2, 4): 55.2675
Distance at (2, 5): 54.7951
Distance at (2, 6): 54.3369
Distance at (2, 7): 53.8934
Distance at (2, 8): 53.4649
Distance at (2, 9): 53.0519
Distance at (2, 10): 52.6545
Distance at (2, 11): 52.2733
Distance at (2, 12): 51.9086
Distance at (2, 13): 51.5606
Distance at (2, 14): 51.2299
Distance at (2, 15): 50.9166
Distance at (2, 16): 50.6211
Distance at (2, 17): 50.3438
Distance at (2, 18): 50.0849
Distance at (2, 19): 49.8448
Distance at (2, 20): 49.6236
Distance at (2, 21): 49.4217
Distance at (2, 22): 49.2392
Distance at (2, 23): 49.0765
Distance at (2, 24): 48.9336
Distance at (2, 25): 48.8109
Distance at (2, 26): 48.7083
Distance at (2, 27): 48.6261
Distance at (2, 28): 48.5644
Distance at (2, 29): 48.5232
Distance at (2, 30): 48.5026
Distance at (2, 31): 48.5026
Distance at (2, 32): 48.5232
Distance at (2, 33): 48.5644
Distance at (2, 34): 48.6261
Distance at (2, 35): 48.7083
Distance at (2, 36): 48.8109
Distance at (2, 37): 48.9336
Distance at (2, 38): 49.0765
Distance at (2, 39): 49.2392
Distance at (2, 40): 49.4217
Distance at (2, 41): 49.6236
Distance at (2, 42): 49.8448
Distance at (2, 43): 50.0849
Distance at (2, 44): 50.3438
Distance at (2, 45): 50.6211
Distance at (2, 46): 50.9166
Distance at (2, 47): 51.2299
Distance at (2, 48): 51.5606
Distance at (2, 49): 51.9086
Distance at (2, 50): 52.2733
Distance at (2, 51): 52.6545
Distance at (2, 52): 53.0519
Distance at (2, 53): 53.4649
Distance at (2, 54): 53.8934
Distance at (2, 55): 54.3369
Distance at (2, 56): 54.7951
Distance at (2, 57): 55.2675
Distance at (2, 58): 55.7539
Distance at (2, 59): 56.2539
Distance at (2, 60): 56.7671
Distance at (3, 1): 55.9151
Distance at (3, 2): 55.3940
Distance at (3, 3): 54.8862
Distance at (3, 4): 54.3921
Distance at (3, 5): 53.9120
Distance at (3, 6): 53.4462
Distance at (3, 7): 52.9953
Distance at (3, 8): 52.5595
Distance at (3, 9): 52.1392
